experiment_id,submitted_at_utc,kaggle_submission_id,kaggle_status,public_score,delta_vs_previous_best,public_code_url
s001,2026-07-10T16:07:13.390Z,54533337,COMPLETE,0.822,,https://www.kaggle.com/code/beicicc/robust-tabular-portfolio-submission
s002,2026-07-11T12:48:44.680Z,54571974,COMPLETE,0.822,0.000,https://www.kaggle.com/code/beicicc/five-fold-weighted-portfolio-submission
s003,2026-07-12T04:06:48.063Z,54594314,COMPLETE,0.820,-0.002,https://www.kaggle.com/code/beicicc/adaptive-small-sample-portfolio-submission
s004,2026-07-13T00:54:51.640Z,54627211,COMPLETE,0.820,-0.002,https://www.kaggle.com/code/beicicc/small-sample-variance-reduction-submission
s005,2026-07-14T08:25:07.483Z,54678654,COMPLETE,0.822,0.000,https://www.kaggle.com/code/beicicc/guarded-adaptive-feature-view-submission
s006,2026-07-15T01:27:53.370Z,54707241,COMPLETE,0.822,0.000,https://www.kaggle.com/code/beicicc/single-adaptive-selection-guard-submission
s007,2026-07-16T00:32:02.793Z,54748613,COMPLETE,0.822,0.000,https://www.kaggle.com/code/beicicc/single-adaptive-selection-guard-replication
s008,2026-07-17T20:05:45.167Z,54791549,COMPLETE,0.822,0.000,https://www.kaggle.com/code/beicicc/deterministic-weighted-portfolio-replication
s009,2026-07-18T04:40:28.030Z,54799003,COMPLETE,0.822,0.000,https://www.kaggle.com/code/beicicc/deterministic-portfolio-replication-s009
s010,2026-07-19T02:47:21.210Z,54820563,COMPLETE,0.822,0.000,https://www.kaggle.com/code/beicicc/deterministic-portfolio-replication-s010
s011,2026-07-20T03:17:59.447Z,54843927,COMPLETE,0.822,0.000,https://www.kaggle.com/code/beicicc/deterministic-portfolio-replication-s011
s012,2026-07-21T01:50:15.413Z,54866430,COMPLETE,0.822,0.000,https://www.kaggle.com/code/beicicc/deterministic-portfolio-replication-s011?scriptVersionId=336820326
s013,2026-07-22T02:32:35.957Z,54892057,COMPLETE,0.822,0.000,https://www.kaggle.com/code/beicicc/deterministic-portfolio-replication-s011?scriptVersionId=337058867
s014,2026-07-23T04:52:49.597Z,54919421,COMPLETE,0.822,0.000,https://www.kaggle.com/code/beicicc/deterministic-portfolio-replication-s011?scriptVersionId=337330758
s015,2026-07-24T01:33:20.897Z,54940125,COMPLETE,0.822,0.000,https://www.kaggle.com/code/beicicc/observable-post-fit-time-gate-s015
s016,2026-07-25T08:44:19.900Z,54971495,COMPLETE,0.822,0.000,https://www.kaggle.com/code/beicicc/deterministic-portfolio-replication-s016?scriptVersionId=337821967
s017,2026-07-26T08:25:17.160Z,54995888,COMPLETE,0.822,0.000,https://www.kaggle.com/code/beicicc/deterministic-portfolio-replication-s017?scriptVersionId=338030601
s018,2026-07-27T08:41:33.437Z,55023437,COMPLETE,0.822,0.000,https://www.kaggle.com/code/beicicc/deterministic-portfolio-replication-s018?scriptVersionId=338261176
s019,2026-07-28T02:21:12.763Z,55042987,COMPLETE,0.822,0.000,https://www.kaggle.com/code/beicicc/deterministic-portfolio-replication-s019?scriptVersionId=338437903
s020,2026-07-29T00:09:39.040Z,55067615,COMPLETE,0.822,0.000,https://www.kaggle.com/code/beicicc/deterministic-portfolio-replication-s020?scriptVersionId=338687407
s021,2026-07-30T02:42:52.797Z,55097537,COMPLETE,0.822,0.000,https://www.kaggle.com/code/beicicc/public-v9-package-replication-s021?scriptVersionId=338969249
s022,2026-07-31T01:44:53.140Z,55123945,COMPLETE,0.822,0.000,https://www.kaggle.com/code/beicicc/pandas-stringdtype-compatibility-s022?scriptVersionId=339179331
s023,2026-08-01T05:21:37.487Z,55154461,COMPLETE,0.822,0.000,https://www.kaggle.com/code/beicicc/extension-dtype-missing-value-compatibility-s023?scriptVersionId=339426655
s024,2026-08-02T00:38:49.573Z,55173926,COMPLETE,0.822,0.000,https://www.kaggle.com/code/beicicc/directory-safe-csv-discovery-s024?scriptVersionId=339584302
s025,2026-08-03T05:04:48.290Z,55202753,COMPLETE,0.822,0.000,https://www.kaggle.com/code/beicicc/harness-default-top-two-selection-s025?scriptVersionId=339827091
s026,2026-08-04T01:04:34.350Z,55225307,COMPLETE,0.822,0.000,https://www.kaggle.com/code/beicicc/recursive-safe-runtime-root-detection-s026?scriptVersionId=340247311
s027,2026-08-06T17:59:18.003Z,55304471,COMPLETE,0.822,0.000,https://www.kaggle.com/code/beicicc/sample-declared-target-priority-s027?scriptVersionId=340780030
